  1   1     114.844      45.118  0.079785    14.719    15.661    18.910 1237663786878238968     0.797491     0.125572     -22.38191     -21.56168     -19.65829
  1   2     114.840      45.124  0.077575    16.380    16.885    18.360 1237663786878238968     0.099729     0.067429     -20.61242     -20.12822     -18.97008
  1   3     114.850      45.082  0.078914    16.813    17.693    19.805 1237663786878238968     0.139949     0.013020     -20.25581     -19.49058     -17.69719
  1   4     114.819      45.088  0.077670    17.100    17.960    18.419 1237663786878238968     0.128818     0.019923     -19.93044     -19.18009     -17.40807
  2   1     116.553      21.996  0.045715    14.289    15.159    18.923 1237663786878238970     4.118502    14.232860     -21.52291     -20.69774     -18.84521
  2   2     116.610      22.034  0.047243    14.982    15.809    20.368 1237663786878238970     0.253210     0.036408     -20.90301     -20.12568     -18.39918
  2   3     116.543      22.006  0.047494    15.822    16.678    19.217 1237663786878238970     0.046126     0.014381     -20.07706     -19.26969     -17.45251
  2   4     116.576      22.002  0.046392    16.672    17.471    20.647 1237663786878238970     0.047575     0.604382     -19.16868     -18.41851     -16.82739
  3   1     117.331      21.833  0.024654    13.359    14.210    20.546 1237663786878238862     0.218029     0.089669     -21.05702     -20.21347     -18.43374
  3   2     117.222      21.747  0.023674    13.511    14.316    20.037 1237663786878238862     0.882313     0.115882     -20.81442     -20.01659     -18.28445
  3   3     117.207      21.733  0.024548    15.695    16.442    15.764 1237663786878238862     0.328063     0.028290     -18.70957     -17.97360     -16.71090
  3   4     117.375      21.753  0.024403    15.774    16.067    19.680 1237663786878238862     0.105188     0.010993     -18.61684     -18.28717     -17.54623
  4   1     117.824      50.179  0.021253    12.839    13.729    18.464 1237663786878239171     0.407348     0.076800     -21.24536     -20.35484     -18.51901
  4   2     117.828      50.235  0.023181    13.118    13.964    19.176 1237663786878239171   -99.900002   -99.900002     -21.16119     -20.31984     -18.49933
  4   3     117.838      50.236  0.024164    13.154    14.042    18.623 1237663786878239171     0.417033     0.271518     -21.21780     -20.33227     -18.49589
  4   4     117.806      50.193  0.021810    13.706    14.561    20.062 1237663786878239171     1.587537     0.204771     -20.43630     -19.58417     -17.80281
  4   5     117.764      50.255  0.021290    15.477    16.268    17.841 1237663786878239171     1.707115     0.220237     -18.61096     -17.82542     -16.13886
  5   1     118.715      45.705  0.053024    14.645    15.547    19.866 1237657872706371884     0.857525     0.130621     -21.50590     -20.66559     -18.85573
  5   2     118.704      45.715  0.051040    15.091    16.007    16.806 1237657872706371884     0.226157     0.032675     -20.97477     -20.11262     -18.21025
  5   3     118.721      45.714  0.054495    16.655    17.609    18.833 1237657872706371884     0.015551     0.014909     -19.56157     -18.66745     -16.77777
  5   4     118.703      45.721  0.054308    16.853    17.858    18.456 1237657872706371884     0.872811     0.365701     -19.35578     -18.40323     -16.52653
  6   1     119.198      45.888  0.056604    14.072    14.856    19.677 1237660343923376508     0.057476     0.088853     -22.21904     -21.50369     -20.03313
