i_gru,n_m,Ra,dec,z,thete_g ,mu,sigv,r_b,flag,rabs1,d_ij,tcr,rp,rabs2,Target,ngc,pasiva
370,6,241.96599999999998,38.975,0.0382,6.662999999999999,25.73,344.918,13.727,0,-21.69,0.10286010000000001,0.0270452,109.9400253,-20.349,Loose,370,6
371,4,242.732,52.453,0.06374500000000001,2.571,24.035,631.494,13.609000000000002,0,-22.945999999999998,0.10400319999999999,0.014936099999999999,70.3716965,-20.647,Loose,371,4
372,4,243.084,28.476999999999997,0.053350999999999996,6.736000000000001,26.212,21.381999999999998,14.194,0,-21.961,0.20222920000000003,0.8577403,154.685318,-21.574,Field,372,2
373,4,243.21,33.035,0.031620999999999996,4.32,24.713,108.249,13.517999999999999,0,-21.489,0.09494,0.0795395,59.0917244,-20.56,FIl,373,3
374,4,243.21900000000002,11.120999999999999,0.041943,4.795,25.1,403.20099999999996,13.605,0,-22.043000000000003,0.08805489999999999,0.0198058,86.7908859,-20.866,Field,374,4
375,5,243.231,30.753,0.049687,3.322,25.226,479.845,14.418,0,-21.574,0.0630775,0.0119215,71.1134338,-20.002,FIl,375,4
376,4,243.408,51.443000000000005,0.050450999999999996,4.194,25.603,177.549,14.659,0,-21.357,0.0986201,0.050374,91.12490079999999,-21.021,Field,376,2
377,4,244.997,37.774,0.030775999999999998,7.89,25.764,492.005,13.48,0,-21.424,0.13224560000000002,0.0243765,105.07552340000002,-21.086,FIl,377,2
378,4,245.231,39.908,0.0305,5.7,26.125,633.339,14.517000000000001,0,-20.484,0.077303,0.011069299999999999,75.23486329999999,-19.719,FIl,378,1
379,4,245.25799999999998,21.326,0.032112,4.55,25.518,190.138,13.985,0,-21.011999999999997,0.0689774,0.0329,63.1972694,-19.347,Field,379,3
380,4,246.282,40.894,0.029051999999999998,6.577000000000001,24.682,230.115,12.324000000000002,0,-22.454,0.0835424,0.0329246,82.70627590000001,-20.936999999999998,FIl,380,2
381,4,246.456,43.963,0.031735,3.097,24.491,104.51299999999999,14.440999999999999,0,-20.525,0.0425247,0.036900199999999994,42.518150299999995,-20.424,Field,381,3
382,4,246.622,40.884,0.03025,4.38,25.750999999999998,367.06300000000005,14.137,0,-20.679000000000002,0.07162180000000001,0.017695500000000003,57.3420105,-18.090999999999998,Node,382,2
383,4,246.645,33.5,0.05149600000000001,2.812,25.22,148.584,14.675999999999998,0,-21.395,0.09960830000000001,0.0607971,62.355346700000005,-19.473,Field,383,2
384,4,246.852,14.11,0.050672,2.524,24.703000000000003,353.43300000000005,14.527000000000001,0,-21.476999999999997,0.09471389999999999,0.024303400000000003,55.0751801,-19.932000000000002,Node,384,3
385,5,247.199,25.548000000000002,0.040260000000000004,6.379,25.862,115.374,14.142999999999999,0,-21.366,0.16135560000000002,0.126834,110.87556459999999,-20.432000000000002,Loose,385,5
386,4,247.207,21.525,0.036962,5.657,25.798000000000002,255.787,13.757,0,-21.541,0.12420550000000001,0.044037400000000004,90.3513947,-19.718,Field,386,1
387,4,247.23,42.798,0.031434,3.867,25.162,188.743,14.06,0,-20.906999999999996,0.0618303,0.029709199999999998,52.5884666,-19.771,FIl,387,2
388,4,247.66,26.051,0.04829,6.1739999999999995,26.113000000000003,375.381,14.308,0,-21.596999999999998,0.170503,0.041192599999999996,128.4703979,-21.35,Node,388,4
389,4,248.015,13.655999999999999,0.052644,1.571,23.241,609.382,13.919,0,-22.195999999999998,0.0399494,0.005945399999999999,35.5910034,-19.91,Node,389,4
390,4,248.392,39.236,0.030711000000000002,6.871,25.86,351.295,13.782,0,-21.198,0.1270525,0.032799699999999994,91.308403,-20.187,FIl,390,3
391,4,248.71200000000002,26.288,0.043863,2.2230000000000003,23.959,369.93300000000005,14.095999999999998,0,-21.631,0.051135,0.012535899999999999,42.063373600000006,-20.248,FIl,391,4
392,4,248.81900000000002,31.026999999999997,0.099173,5.635,26.283,271.437,14.33,0,-23.267,0.316301,0.10567950000000001,237.8528442,-21.863000000000003,Node,392,2
393,4,249.47299999999998,36.055,0.032117,7.614,25.094,204.356,12.699000000000002,0,-22.25,0.10846960000000001,0.0481372,105.77787020000001,-21.23,Field,393,4
394,4,251.171,38.915,0.038366000000000004,6.502999999999999,26.276,266.812,14.152000000000001,0,-21.308000000000003,0.11531989999999999,0.0391974,107.7712021,-20.118,Field,394,3
395,5,251.799,33.933,0.06702000000000001,1.5819999999999999,23.539,360.916,14.273,0,-22.412,0.0551288,0.013852600000000001,45.492588,-20.241,Loose,395,4
396,6,252.34400000000002,26.592,0.054711,3.318,24.733,479.616,14.228,0,-21.98,0.0880169,0.016643,78.1155167,-20.980999999999998,Node,396,6
397,5,253.055,23.351999999999997,0.035838,6.494,25.436,253.774,13.19,0,-22.057,0.15384389999999998,0.0549783,100.5855865,-20.147000000000002,Loose,397,3
398,4,253.543,39.792,0.033443,7.905,25.906,272.70099999999996,13.093,0,-22.013,0.1560789,0.051905999999999994,114.3194504,-20.143,Field,398,2
399,4,254.365,40.717,0.029994999999999997,4.975,24.651,256.493,13.722999999999999,0,-21.162,0.0749642,0.026505599999999997,64.5837097,-21.114,Field,399,4
400,4,255.021,37.804,0.063614,4.393,25.699,168.32299999999998,14.47,0,-22.076999999999998,0.1388937,0.0748341,119.9878006,-21.089000000000002,Loose,400,3
401,5,255.13400000000001,24.414,0.047888,4.053999999999999,25.62,84.27,14.583,0,-21.326,0.12367089999999999,0.13309210000000002,83.6598892,-20.128,Loose,401,2
402,6,255.22799999999998,39.571999999999996,0.034436,7.232,25.859,197.813,13.482999999999999,0,-21.66,0.11859860000000001,0.0543731,107.6678543,-20.08,Field,402,6
403,5,255.99599999999998,25.051,0.038237,3.677,24.287,168.845,13.52,0,-21.934,0.07772330000000001,0.0417467,60.737587,-21.033,Loose,403,5
