N,F,L,NE,VS,VR
0.0,0.023255813953488372,0.047619047619047616,0.060109289617486336,0.05,0.0
0.057971014492753624,0.09302325581395349,0.11904761904761904,0.15300546448087432,0.05,0.0
0.057971014492753624,0.2558139534883721,0.1746031746031746,0.23497267759562843,0.4,0.625
0.8840579710144928,0.627906976744186,0.6587301587301587,0.5519125683060109,0.5,0.375
