frec,e,Entorno
0.8552631578947368,0.03961559703066886,N
0.7040280210157618,0.03747407604777009,F
0.7336956521739131,0.06404270209271468,L
0.654126213592233,0.0324965887458889,NE
0.6421052631578947,0.1630475087470208,VS
0.6470588235294118,0.09690918360780143,VR
