frec,e,Entorno
0.7268292682926829,0.048501905146999924,N
0.7154340836012861,0.03402014776420115,F
0.685,0.0601619894056622,L
0.6133960047003525,0.032373238179543073,NE
0.5157894736842106,0.1498821919577088,VS
0.5897435897435898,0.09690918360780143,VR
