N,F,L,NE,VS,VR
0.0,0.0,0.007194244604316547,0.03723404255319149,0.05,0.0
0.0851063829787234,0.1956521739130435,0.050359712230215826,0.12234042553191489,0.3,0.2222222222222222
0.2553191489361702,0.2391304347826087,0.3381294964028777,0.42021276595744683,0.35,0.4444444444444444
0.6595744680851063,0.5652173913043478,0.60431654676259,0.42021276595744683,0.3,0.3333333333333333
