       1    112.0064992     41.9195006 0.05926188357   3   1.1601692  22.7114565 14.30900000    344.2682254     29.5495216   0.8986E+13 -22.09431000 -21.55414000   0.8421E+11      0.0102913     39.0669704   0
       2    112.0419877     40.0550036 0.05051099322   3   4.3824219  25.7260367 14.15300000    288.0833039     95.3384437   0.3379E+14 -21.86091000 -20.23558000   0.5179E+11      0.0585259    185.9116622   0
       7    116.7689851     41.5860011 0.02911594156   3   7.3418209  26.1173202 13.51100000    303.2684178     92.5310040   0.3555E+14 -21.27249000 -19.93102000   0.3217E+11      0.0528633    176.7755422   0
       8    116.8599901     26.9745022 0.01672975384   3   5.9719235  24.8455602 12.78000000     81.1318943     43.3645225   0.1190E+13 -20.79902000 -19.52270000   0.2245E+11      0.0924198     82.6793979   0
       9    117.0224917     28.1970036 0.02773026410   3   4.7315918  25.3489969 14.42500000     97.8355196     56.8134287   0.2368E+13 -20.26082000 -20.11426000   0.2503E+11      0.1046783    112.9259753   0
      11    117.2910085     43.7770113 0.03183546008   3   4.5789117  24.8287559 13.26500000    180.9197857     63.0600765   0.8480E+13 -21.74844000 -20.55612000   0.5057E+11      0.0582387    116.1818375   0
      15    117.7940239     50.2170039 0.02194169550   5   5.1088208  23.7949179 12.83900000    458.5169765     48.6006607   0.2785E+14 -21.24187000 -21.21502000   0.7867E+11      0.0115990     58.6428694   0
      19    118.1754970     28.7920014 0.07628790180   4   2.8092404  25.3433061 14.73900000    250.8995137     91.7272569   0.1428E+14 -22.26616000 -19.94195000   0.7498E+11      0.0365624    101.1521719   0
      21    118.7090009     45.7130002 0.05355901594   4   1.0836741  22.7223167 14.64500000    597.6184055     24.9793887   0.2745E+14 -21.52229000 -20.98506000   0.5649E+11      0.0051326     33.8224580   0
      23    119.1765006     44.0975005 0.04745861460   3   0.9975987  22.4733990 14.29000000    549.7011235     20.4059000   0.1775E+14 -21.56522000 -20.70917000   0.4690E+11      0.0045283     27.4475100   0
      24    119.1896997     45.8863214 0.05494175534   4   1.2156953  22.3246394 14.07200000    531.4549715     28.7364633   0.2133E+14 -22.24985000 -22.02714000   0.1126E+12      0.0063635     37.2911109   0
      31    120.5466752      9.3820463 0.01694920508   3   2.4068841  23.5178939 13.31500000    551.0027047     17.7058105   0.2210E+14 -20.27901000 -18.89076000   0.1244E+11      0.0051563     31.3282821   0
      34    120.9295000      9.9540000 0.03509347878   3   0.7224212  21.0612260 13.37200000    106.7296578     10.9589653   0.4951E+12 -21.83434000 -19.96861000   0.4884E+11      0.0149023     17.5379266   0
      36    121.3669983     37.5435017 0.03429317244   4   2.0565928  23.2266333 13.76000000    191.9455419     30.4922543   0.3106E+13 -21.39498000 -21.13634000   0.5082E+11      0.0190233     40.2628142   0
      39    121.8999996     14.9385010 0.02960336398   3   2.4939939  24.5615882 14.26400000    314.3318579     31.9551310   0.1280E+14 -20.56795000 -19.12309000   0.1646E+11      0.0168406     58.3694630   0
      40    122.0565010      9.0300009 0.05353595425   6   3.5066926  24.5284534 13.97200000    163.0031482     80.7971756   0.4840E+13 -22.18952000 -21.24218000   0.1152E+12      0.0428503     77.0177991   0
      46    123.3874899     54.3880058 0.04125711226   3   2.9340201  24.9984524 14.58700000    400.8870072     52.2499941   0.2588E+14 -20.98112000 -20.54519000   0.3104E+11      0.0176129     77.8562310   0
      47    123.4780000      9.7010006 0.05277399617   4   2.4839653  24.8301146 14.60200000    324.9371122     56.4284182   0.1585E+14 -21.55184000 -19.63827000   0.4243E+11      0.0191052     68.4528627   0
      48    123.5444988     46.0075031 0.05075533644   3   2.2289949  24.6292984 14.66700000    168.9886248     48.7229408   0.4724E+13 -21.38502000 -20.23095000   0.3784E+11      0.0411372     76.6535934   0
      49    123.6241548     55.1592385 0.03395183821   3   2.4529923  23.4943059 13.05800000    499.1563872     36.0103725   0.3746E+14 -21.98147000 -19.31748000   0.5200E+11      0.0124697     68.6331901   0
      51    123.9584752     58.3155088 0.02676406464   3   3.7271559  23.5872820 12.54900000    386.7865443     43.2030533   0.1748E+14 -22.09799000 -21.09523000   0.7424E+11      0.0134665     57.4337335   0
      52    124.0530121     23.1715103 0.01456130980   3   7.1580842  25.6105992 13.40200000    114.5391449     45.2599454   0.1868E+13 -19.92644000 -19.57899000   0.1232E+11      0.0524514     66.2447795   0
      54    124.6190014     56.6065003 0.04354574409   3   0.9421122  22.5369928 14.53300000    212.1577343     17.6985366   0.2353E+13 -21.15968000 -20.33545000   0.3318E+11      0.0096427     22.5578619   0
      55    125.0971374     21.0809371 0.01760552500   3   6.0111688  23.7463352 11.71500000    501.1087590     45.9262292   0.3993E+14 -21.70731000 -21.11930000   0.6022E+11      0.0131346     72.5755034   0
