       1    112.0062552     41.9193142 0.05918000000   3   1.1754420  22.7400079 14.30948000    344.2877491     29.8977512   0.9067E+13 -22.09431000 -21.55414000   0.8421E+11      0.0102649     38.9688374   0 1.000 0.667
       2    112.0420837     40.0549356 0.05041100000   4   4.3775331  25.6860985 14.15301000    311.8348093     95.0458378   0.2616E+14 -21.86091000 -20.23558000   0.5355E+11      0.0341891    117.5580685   0 0.500 0.500
       7    116.7575752     41.5760916 0.02907900000   7  15.9487636  27.6768903 13.51052000    186.2730434    200.7536241   0.1021E+14 -21.27249000 -19.93102000   0.3607E+11      0.0799163    164.1444165   0 1.000 0.714
       8    116.8595340     26.9746537 0.01673600000   4   5.9678760  24.8166393 12.77954000    204.0078416     43.3512568   0.4503E+13 -20.79902000 -19.52270000   0.2294E+11      0.0248278     55.8503714   0 0.750 0.750
       9    117.0222055     28.1972242 0.02774400000   3   4.7309462  25.3484777 14.42484000     97.8658898     56.8336364   0.2371E+13 -20.26082000 -20.11426000   0.2503E+11      0.1047031    112.9877774   0 0.333 1.000
      11    117.2888089     43.7376690 0.03190000000   5   7.2460045  25.7696568 13.26461000    162.7515454     99.9917034   0.6938E+13 -21.74844000 -20.55612000   0.5309E+11      0.0576538    103.4651502   0 0.400 0.800
      15    117.7948057     50.2298327 0.02180500000  10  10.9619126  25.4062815 12.83933000    442.3808101    103.6351438   0.3734E+14 -21.24187000 -21.21502000   0.8222E+11      0.0177048     86.3628858   0 1.000 0.600
      19    118.1750959     28.7917350 0.07628800000   4   2.8133808  25.3461465 14.73861000    250.8182155     91.8625646   0.1419E+14 -22.26616000 -19.94195000   0.7498E+11      0.0361008     99.8429013   0 1.000 0.500
      20    118.2024371     44.2540746 0.06825500000   3   1.5913120  23.7525849 14.53212000    506.2413275     46.5796025   0.3849E+14 -22.22439000 -21.21894000   0.8274E+11      0.0112503     62.8004571   0 1.000 0.667
      23    119.1766592     44.0972773 0.04731900000   3   1.0277665  22.5378565 14.28977000    549.6815998     20.9618354   0.1727E+14 -21.56522000 -20.70917000   0.4690E+11      0.0046450     28.1535642   0 1.000 1.000
      24    119.1993865     45.8932351 0.05491700000   5   2.3194292  23.7062494 14.07219000    599.8789842     54.8020169   0.3775E+14 -22.24985000 -22.02714000   0.1146E+12      0.0081049     53.6104718   0 0.800 0.400
      34    120.9295414      9.9539084 0.03511000000   3   0.7214298  21.0581276 13.37183000    106.7014568     10.9490358   0.4835E+12 -21.83434000 -19.96861000   0.4884E+11      0.0137325     16.1569966   0 1.000 0.333
      36    121.3668332     37.5434043 0.03428300000   4   2.0415891  23.2105912 13.75965000    191.9578134     30.2608931   0.3085E+13 -21.39498000 -21.13634000   0.5082E+11      0.0189354     40.0794016   0 1.000 0.750
