       1    112.0062552     41.9193142 0.05918000000   3   1.1754420  22.7400079 14.30948000    344.2877491     29.8977512   0.9067E+13 -22.09431000 -21.55414000   0.8421E+11      0.0102649     38.9688374   0 1.000 0.667     4  2782
       2    112.0420837     40.0549356 0.05041100000   4   4.3775331  25.6860985 14.15301000    311.8348093     95.0458378   0.2616E+14 -21.86091000 -20.23558000   0.5355E+11      0.0341891    117.5580685   0 0.500 0.500     4   528
       3    114.8418295     45.1025259 0.07828600000   4   2.6201350  25.0183202 14.71907000    404.3393687     87.7503636   0.5252E+14 -22.39300000 -20.68933000   0.9570E+11      0.0317558    141.5828016   0 0.750 0.500     0     0
       4    114.9777591     49.3196077 0.02196900000   3   7.8570465  26.1694714 14.18734000    164.2118218     74.8373567   0.7989E+13 -20.02154000 -19.86668000   0.1998E+11      0.0650061    117.7062506   0 0.333 0.333     0     0
       5    116.5809077     44.8320658 0.03157500000   3   8.1823780  25.9858328 13.14665000    283.3173474    111.7712779   0.3739E+14 -21.79816000 -20.57320000   0.5386E+11      0.0681989    213.0547418   0 0.667 1.000     0     0
       6    116.6540256     39.0410111 0.01385400000   3   7.6981672  25.3690034 13.03523000    151.8251075     46.3166709   0.4439E+13 -20.11857000 -19.72661000   0.1543E+11      0.0526332     88.1137640   0 0.667 0.333     0     0
       7    116.7575752     41.5760916 0.02907900000   7  15.9487636  27.6768903 13.51052000    186.2730434    200.7536241   0.1021E+14 -21.27249000 -19.93102000   0.3607E+11      0.0799163    164.1444165   0 1.000 0.714     4    40
       8    116.8595340     26.9746537 0.01673600000   4   5.9678760  24.8166393 12.77954000    204.0078416     43.3512568   0.4503E+13 -20.79902000 -19.52270000   0.2294E+11      0.0248278     55.8503714   0 0.750 0.750     4   950
       9    117.0222055     28.1972242 0.02774400000   3   4.7309462  25.3484777 14.42484000     97.8658898     56.8336364   0.2371E+13 -20.26082000 -20.11426000   0.2503E+11      0.1047031    112.9877774   0 0.333 1.000     4  6091
      10    117.2888482     21.7616494 0.02447000000   6   9.8109346  26.1152601 13.35925000    180.2413956    104.0287254   0.1048E+14 -21.05507000 -20.80461000   0.3961E+11      0.0680828    135.3108417   0 0.667 0.667     0     0
