           1           1   114.844002       45.1180000       7.9784996807575226E-002   14.7189999       15.6610003      -22.374979019165039       -21.5611019               1
           1           2   114.839996       45.1240005       7.7574998140335083E-002   16.3799992       16.8850002      -20.607854843139648       -20.1283989               0
           1           3   114.849998       45.0820007       7.8914001584053040E-002   16.8129997       17.6930008      -20.251556396484375       -19.4909267               1
           1           4   114.819000       45.0880013       7.7670000493526459E-002   17.1000004       17.9599991      -19.926036834716797       -19.1803856               0
           2           1   116.553001       21.9960003       4.5715000480413437E-002   14.2889996       15.1590004      -21.512624740600586       -20.6982040               1
           2           2   116.610001       22.0340004       4.7242999076843262E-002   14.9820004       15.8090000      -20.894868850708008       -20.1255856               0
           2           3   116.542999       22.0060005       4.7494001686573029E-002   15.8219995       16.6779995      -20.067041397094727       -19.2700882               1
           2           4   116.575996       22.0020008       4.6392001211643219E-002   16.6720009       17.4710007      -19.163127899169922       -18.4188557               1
           3           1   117.331001       21.8330002       2.4653999134898186E-002   13.3590002       14.2100000      -21.047618865966797       -20.2136097               1
           3           2   117.222000       21.7469997       2.3674000054597855E-002   13.5109997       14.3160000      -20.805871963500977       -20.0176792               1
           3           3   117.207001       21.7329998       2.4547999724745750E-002   15.6949997       16.4419994      -18.703609466552734       -17.9743938               1
           3           4   117.375000       21.7530003       2.4403000250458717E-002   15.7740002       16.0669994      -18.610754013061523       -18.2879829               0
           4           1   117.823997       50.1790009       2.1252999082207680E-002   12.8389997       13.7290001      -21.235187530517578       -20.3548908               1
           4           2   117.828003       50.2350006       2.3181000724434853E-002   13.1180000       13.9639997      -21.151054382324219       -20.3200150               1
           4           3   117.837997       50.2360001       2.4164000526070595E-002   13.1540003       14.0419998      -21.206720352172852       -20.3328705               1
           4           4   117.806000       50.1930008       2.1810000762343407E-002   13.7060003       14.5609999      -20.426807403564453       -19.5843754               1
           4           5   117.764000       50.2550011       2.1290000528097153E-002   15.4770002       16.2679996      -18.603288650512695       -17.8259506               1
           5           1   118.714996       45.7050018       5.3024001419544220E-002   14.6450005       15.5469999      -21.496789932250977       -20.6654663               1
           5           2   118.704002       45.7150002       5.1040001213550568E-002   15.0909996       16.0070000      -20.962829589843750       -20.1129227               1
           5           3   118.721001       45.7140007       5.4494999349117279E-002   16.6550007       17.6089993      -19.549234390258789       -18.6675453               1
           5           4   118.703003       45.7210007       5.4308000952005386E-002   16.8530006       17.8579998      -19.341581344604492       -18.4037800               1
           6           1   119.197998       45.8880005       5.6604001671075821E-002   14.0719995       14.8559999      -22.218235015869141       -21.5046539               0
           6           2   119.183998       45.8769989       5.3410001099109650E-002   14.1450005       15.0439997      -22.013519287109375       -21.1860332               1
           6           3   119.194000       45.8959999       5.4501999169588089E-002   16.7759991       17.6019993      -19.428480148315430       -18.6734180               1
           6           4   119.197998       45.8779984       5.5341001600027084E-002   16.9379997       17.7889996      -19.302066802978516       -18.5251751               1
           7           1   119.944000       18.4020004       4.2022000998258591E-002   14.2720003       15.2779999      -21.332532882690430       -20.3627586               1
           7           2   119.939003       18.4440002       3.9721999317407608E-002   15.4200001       16.2000008      -20.061847686767578       -19.3241062               0
           7           3   119.940002       18.4039993       4.2608998715877533E-002   16.9869995       17.8220005      -18.654293060302734       -17.8685646               1
           7           4   119.986000       18.4139996       4.2247999459505081E-002   17.1800003       17.9209995      -18.441440582275391       -17.7440090               1
           8           1   119.976997       24.0109997       4.7646999359130859E-002   14.3030005       15.0579996      -21.592313766479492       -20.8904953               0
           8           2   119.967003       24.0100002       4.7839999198913574E-002   15.5920000       16.4029999      -20.313447952270508       -19.5604496               0
           8           3   119.960999       24.0620003       4.8023998737335205E-002   15.6739998       16.3449993      -20.236873626708984       -19.6086521               0
           8           4   119.947998       24.0380001       4.8532001674175262E-002   16.4279995       16.9209995      -19.499898910522461       -19.0156975               0
           9           1   120.369003       27.2779999       4.8397999256849289E-002   13.9420004       14.8570004      -21.989675521850586       -21.1349716               1
           9           2   120.327003       27.2129993       4.7674998641014099E-002   14.4519997       15.2810001      -21.445692062377930       -20.6752930               0
           9           3   120.355003       27.2609997       4.6583998948335648E-002   15.6549997       16.4130001      -20.188945770263672       -19.4827614               0
           9           4   120.342003       27.2019997       4.9022998660802841E-002   16.2150002       17.0340004      -19.746398925781250       -18.9879856               1
          10           1   120.602997       9.41399956       1.6572000458836555E-002   11.4709997       12.3070002      -22.051788330078125       -21.2224922               1
          10           2   120.377998       9.70800018       1.7055999487638474E-002   13.2570000       14.2449999      -20.324798583984375       -19.3317337               1
          10           3   120.543999       9.48600006       1.4107000082731247E-002   13.3009996       14.0869999      -19.866220474243164       -19.0856647               1
          10           4   120.563004       9.39400005       1.7106000334024429E-002   13.5159998       14.3160000      -20.077768325805664       -19.2861080               1
          10           5   120.474998       9.62600040       1.6516000032424927E-002   13.5740004       14.3199997      -19.942682266235352       -19.2047710               0
          10           6   120.657997       9.50000000       1.6738999634981155E-002   14.3739996       15.1580000      -19.171928405761719       -18.3961105               1
          11           1   120.793999       39.9059982       4.1900999844074249E-002   13.9680004       14.8179998      -21.635028839111328       -20.8330784               1
          11           2   120.799004       39.8860016       4.1545998305082321E-002   14.5590000       15.5349998      -21.021131515502930       -20.0846329               1
          11           3   120.762001       39.9329987       4.1483998298645020E-002   14.8739996       15.7200003      -20.706296920776367       -19.9075336               1
          11           4   120.751999       39.8689995       4.0688998997211456E-002   16.2759991       16.9659996      -19.259365081787109       -18.6055279               0
          12           1   120.839996       8.20600033       5.2349999547004700E-002   14.0139999       14.8540001      -22.098155975341797       -21.3260212               0
